Sno,date_time,T_data_1_1,T_data_1_2,T_data_1_3,T_data_2_1,T_data_2_2,T_data_2_3,T_data_3_1,T_data_3_2,T_data_3_3,T_data_4_1,T_data_4_2,T_data_4_3,T_data_5_1,T_data_5_2,T_data_5_3,H_data,AH_data
1,01-01-2015 01:39,210,202,213,286,257,358,531,476,491,356,354,343,236,239,238,162.57,7.82
2,01-01-2015 01:40,210,202,213,286,257,359,531,476,491,357,354,343,236,239,238,165.91,7.82
3,01-01-2015 01:41,210,201,213,286,256,359,530,476,491,358,354,343,237,239,238,163.9,7.82
4,01-01-2015 01:42,210,201,213,286,256,360,530,476,491,358,354,343,237,239,238,161.88,7.82
5,01-01-2015 01:43,211,201,213,286,256,360,530,477,491,359,354,343,237,239,238,164.71,7.82
6,01-01-2015 01:44,211,200,213,286,256,361,530,477,491,360,354,343,237,239,238,160.96,7.82
7,01-01-2015 01:45,211,200,213,285,256,361,530,477,491,360,353,343,237,239,238,161.76,7.82
8,01-01-2015 01:46,211,199,213,285,256,362,530,477,491,361,353,343,237,239,238,163.49,7.82
9,01-01-2015 01:47,211,199,212,285,256,362,530,477,491,362,353,343,238,239,238,168.89,7.82
10,01-01-2015 01:48,211,198,212,285,256,362,530,478,491,362,353,343,238,239,238,164.46,7.82
11,01-01-2015 01:49,211,198,212,285,256,363,530,478,491,363,353,343,238,239,238,167.2,7.82
12,01-01-2015 01:50,211,198,212,285,256,363,529,478,491,363,353,343,238,239,238,164.35,7.82
13,01-01-2015 01:51,211,197,212,285,256,363,529,478,491,364,352,343,238,239,238,163.67,7.82
14,01-01-2015 01:52,212,197,212,285,257,363,529,479,491,364,352,343,238,239,238,165.34,7.82
15,01-01-2015 01:53,212,196,212,285,257,363,529,479,491,364,352,343,238,239,238,166.67,7.82
16,01-01-2015 01:54,212,196,212,285,258,363,529,479,491,365,352,342,238,238,238,164.51,7.82
17,01-01-2015 01:55,212,195,212,285,258,363,528,479,491,365,352,342,239,238,238,164.52,7.82
18,01-01-2015 01:56,212,195,212,285,259,363,528,480,491,365,351,342,239,238,238,170.52,7.82
19,01-01-2015 01:57,213,194,212,285,260,363,528,480,490,366,351,342,239,238,238,164.18,7.82
20,01-01-2015 01:58,213,194,212,285,260,363,527,480,490,366,351,342,239,238,238,165.02,7.82
21,01-01-2015 01:59,213,193,212,285,261,363,527,481,490,366,351,342,239,237,238,163.35,7.82
22,01-01-2015 02:00,213,193,212,285,262,363,527,481,490,366,351,342,239,237,239,166.75,6.03
23,01-01-2015 02:01,214,192,212,285,263,362,527,481,490,366,350,342,239,237,239,167.87,6.03
24,01-01-2015 02:02,214,192,211,285,264,362,526,482,490,366,350,342,239,236,239,166.66,6.03
25,01-01-2015 02:03,214,191,211,285,265,362,526,482,490,366,350,342,239,236,239,164.4,6.03
26,01-01-2015 02:04,215,191,211,285,266,361,526,482,490,366,350,342,239,236,239,165.5,6.03
27,01-01-2015 02:05,215,190,211,285,268,361,525,483,490,366,349,342,239,235,239,161.84,6.03
28,01-01-2015 02:06,215,190,211,285,269,361,525,483,490,366,349,342,239,235,239,159.79,6.03
29,01-01-2015 02:07,216,189,211,285,270,360,524,484,490,366,349,343,239,234,239,162.91,6.03
30,01-01-2015 02:08,216,189,211,285,272,359,524,484,490,366,349,343,239,234,239,166.5,6.03
31,01-01-2015 02:09,217,188,211,286,273,359,524,484,489,366,348,343,239,234,239,161.9,6.03
32,01-01-2015 02:10,217,188,211,286,275,358,523,485,489,366,348,343,239,233,239,163.97,6.03
33,01-01-2015 02:11,217,188,210,286,276,357,523,485,489,366,348,343,239,233,239,161.96,6.03
34,01-01-2015 02:12,218,187,210,286,278,357,522,486,489,365,348,343,239,233,239,166.41,6.03
35,01-01-2015 02:13,218,187,210,286,280,356,522,486,489,365,347,343,239,232,239,166.3,6.03
36,01-01-2015 02:14,219,187,210,286,282,355,521,487,489,365,347,343,239,232,239,162.41,6.03
37,01-01-2015 02:15,220,187,210,286,284,354,521,487,489,364,347,343,239,232,239,163.35,6.03
38,01-01-2015 02:16,220,186,210,287,285,353,520,487,489,364,347,343,239,232,239,166.32,6.03
39,01-01-2015 02:17,221,186,210,287,288,352,520,488,489,364,346,343,239,231,239,166.65,6.03
40,01-01-2015 02:18,221,186,210,287,290,351,519,488,488,363,346,343,239,231,239,166.09,6.03
41,01-01-2015 02:19,222,186,210,287,292,350,519,489,488,363,346,343,239,231,239,168.55,6.03
42,01-01-2015 02:20,223,186,209,287,294,349,518,489,488,363,346,343,239,231,239,166.46,6.03
43,01-01-2015 02:21,223,186,209,288,296,348,518,490,488,362,345,343,239,230,239,168.34,6.03
44,01-01-2015 02:22,224,186,209,288,299,347,517,490,488,362,345,343,239,230,239,165.84,6.03
45,01-01-2015 02:23,225,186,209,288,301,346,517,490,488,362,345,343,239,230,239,165.83,6.03
46,01-01-2015 02:24,225,186,209,288,304,344,516,491,488,361,345,343,239,230,239,162.17,6.03
47,01-01-2015 02:25,226,186,209,289,306,343,515,491,487,361,344,343,239,230,239,167.43,6.03
48,01-01-2015 02:26,227,186,209,289,309,342,515,491,487,361,344,343,239,230,239,167.82,6.03
49,01-01-2015 02:27,227,186,209,289,311,341,514,492,487,360,344,343,239,230,239,163.51,6.03
50,01-01-2015 02:28,228,186,209,289,314,340,513,492,487,360,344,343,239,230,239,163.67,6.03
51,01-01-2015 02:29,229,186,209,290,317,339,513,492,487,359,344,343,239,230,239,165.04,6.03
52,01-01-2015 02:30,230,187,209,290,320,338,512,492,487,359,344,343,239,230,239,165.76,6.03
53,01-01-2015 02:31,231,187,209,290,323,337,511,493,487,359,343,343,238,229,239,166.93,6.03
54,01-01-2015 02:32,232,187,209,291,326,336,511,493,486,358,343,343,238,229,239,168.05,6.03
55,01-01-2015 02:33,232,188,209,291,329,335,510,493,486,358,343,343,238,229,239,163.99,6.03
56,01-01-2015 02:34,233,188,209,291,332,334,509,493,486,358,343,344,238,229,239,165.2,6.03
